2026-04-09 04:49:34 | social_agent | INFO | SocialAgent starting...
2026-04-09 04:49:39 | social_agent | INFO | Weekly deal: Cuelinks
2026-04-09 04:49:39 | social_agent | INFO | Gemini API call (attempt 1/3)
2026-04-09 04:49:39 | social_agent | ERROR | API error on attempt 1: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-09 04:49:44 | social_agent | INFO | Gemini API call (attempt 2/3)
2026-04-09 04:49:44 | social_agent | ERROR | API error on attempt 2: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-09 04:49:54 | social_agent | INFO | Gemini API call (attempt 3/3)
2026-04-09 04:49:54 | social_agent | ERROR | API error on attempt 3: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-09 05:01:59 | social_agent | INFO | SocialAgent starting...
2026-04-09 05:01:59 | social_agent | INFO | No posts yet — sending channel intro message
2026-04-09 05:02:00 | social_agent | INFO | Telegram message sent (message_id: 3)
2026-04-09 05:02:03 | social_agent | INFO | Weekly deal: Cuelinks
2026-04-09 05:02:03 | social_agent | INFO | Gemini API call (attempt 1/3)
2026-04-09 05:02:03 | social_agent | ERROR | API error on attempt 1: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-09 05:02:08 | social_agent | INFO | Gemini API call (attempt 2/3)
2026-04-09 05:02:08 | social_agent | ERROR | API error on attempt 2: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-09 05:02:18 | social_agent | INFO | Gemini API call (attempt 3/3)
2026-04-09 05:02:18 | social_agent | ERROR | API error on attempt 3: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
