2026-04-09 04:49:34 | social_agent | INFO | SocialAgent starting...
2026-04-09 04:49:39 | social_agent | INFO | Weekly deal: Cuelinks
2026-04-09 04:49:39 | social_agent | INFO | Gemini API call (attempt 1/3)
2026-04-09 04:49:39 | social_agent | ERROR | API error on attempt 1: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-09 04:49:44 | social_agent | INFO | Gemini API call (attempt 2/3)
2026-04-09 04:49:44 | social_agent | ERROR | API error on attempt 2: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-09 04:49:54 | social_agent | INFO | Gemini API call (attempt 3/3)
2026-04-09 04:49:54 | social_agent | ERROR | API error on attempt 3: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-09 05:01:59 | social_agent | INFO | SocialAgent starting...
2026-04-09 05:01:59 | social_agent | INFO | No posts yet — sending channel intro message
2026-04-09 05:02:00 | social_agent | INFO | Telegram message sent (message_id: 3)
2026-04-09 05:02:03 | social_agent | INFO | Weekly deal: Cuelinks
2026-04-09 05:02:03 | social_agent | INFO | Gemini API call (attempt 1/3)
2026-04-09 05:02:03 | social_agent | ERROR | API error on attempt 1: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-09 05:02:08 | social_agent | INFO | Gemini API call (attempt 2/3)
2026-04-09 05:02:08 | social_agent | ERROR | API error on attempt 2: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-09 05:02:18 | social_agent | INFO | Gemini API call (attempt 3/3)
2026-04-09 05:02:18 | social_agent | ERROR | API error on attempt 3: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-13 11:57:35 | social_agent | INFO | SocialAgent starting...
2026-04-13 11:57:35 | social_agent | INFO | No posts yet — sending channel intro message
2026-04-13 11:57:35 | social_agent | INFO | Telegram message sent (message_id: 4)
2026-04-13 11:57:38 | social_agent | INFO | Weekly deal: BigRock India
2026-04-13 11:57:38 | social_agent | INFO | Gemini API call (attempt 1/3)
2026-04-13 11:57:39 | social_agent | ERROR | API error on attempt 1: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-13 11:57:44 | social_agent | INFO | Gemini API call (attempt 2/3)
2026-04-13 11:57:44 | social_agent | ERROR | API error on attempt 2: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-13 11:57:54 | social_agent | INFO | Gemini API call (attempt 3/3)
2026-04-13 11:57:54 | social_agent | ERROR | API error on attempt 3: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-20 11:58:11 | social_agent | INFO | SocialAgent starting...
2026-04-20 11:58:11 | social_agent | INFO | No posts yet — sending channel intro message
2026-04-20 11:58:11 | social_agent | INFO | Telegram message sent (message_id: 5)
2026-04-20 11:58:14 | social_agent | INFO | Weekly deal: Admitad India (Coursera, Udemy, 1500+ brands)
2026-04-20 11:58:14 | social_agent | INFO | Gemini API call (attempt 1/3)
2026-04-20 11:58:14 | social_agent | ERROR | API error on attempt 1: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-20 11:58:19 | social_agent | INFO | Gemini API call (attempt 2/3)
2026-04-20 11:58:19 | social_agent | ERROR | API error on attempt 2: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-20 11:58:29 | social_agent | INFO | Gemini API call (attempt 3/3)
2026-04-20 11:58:30 | social_agent | ERROR | API error on attempt 3: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-27 13:08:30 | social_agent | INFO | SocialAgent starting...
2026-04-27 13:08:30 | social_agent | INFO | No posts yet — sending channel intro message
2026-04-27 13:08:30 | social_agent | INFO | Telegram message sent (message_id: 6)
2026-04-27 13:08:33 | social_agent | INFO | Weekly deal: Flipkart Affiliate
2026-04-27 13:08:33 | social_agent | INFO | Gemini API call (attempt 1/3)
2026-04-27 13:08:33 | social_agent | ERROR | API error on attempt 1: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-27 13:08:38 | social_agent | INFO | Gemini API call (attempt 2/3)
2026-04-27 13:08:38 | social_agent | ERROR | API error on attempt 2: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-27 13:08:48 | social_agent | INFO | Gemini API call (attempt 3/3)
2026-04-27 13:08:48 | social_agent | ERROR | API error on attempt 3: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-05-04 13:13:52 | social_agent | INFO | SocialAgent starting...
2026-05-04 13:13:52 | social_agent | INFO | No posts yet — sending channel intro message
2026-05-04 13:13:54 | social_agent | INFO | Telegram message sent (message_id: 7)
2026-05-04 13:13:57 | social_agent | INFO | Weekly deal: EarnKaro
2026-05-04 13:13:57 | social_agent | INFO | Gemini API call (attempt 1/3)
2026-05-04 13:13:57 | social_agent | ERROR | API error on attempt 1: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-05-04 13:14:02 | social_agent | INFO | Gemini API call (attempt 2/3)
2026-05-04 13:14:02 | social_agent | ERROR | API error on attempt 2: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-05-04 13:14:12 | social_agent | INFO | Gemini API call (attempt 3/3)
2026-05-04 13:14:12 | social_agent | ERROR | API error on attempt 3: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-05-11 10:58:11 | social_agent | INFO | SocialAgent starting...
2026-05-11 10:58:11 | social_agent | INFO | No posts yet — sending channel intro message
2026-05-11 10:58:13 | social_agent | INFO | Telegram message sent (message_id: 8)
2026-05-11 10:58:16 | social_agent | INFO | Weekly deal: Amazon India Associates
2026-05-11 10:58:16 | social_agent | INFO | Gemini API call (attempt 1/3)
2026-05-11 10:58:16 | social_agent | ERROR | API error on attempt 1: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-05-11 10:58:21 | social_agent | INFO | Gemini API call (attempt 2/3)
2026-05-11 10:58:21 | social_agent | ERROR | API error on attempt 2: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-05-11 10:58:31 | social_agent | INFO | Gemini API call (attempt 3/3)
2026-05-11 10:58:31 | social_agent | ERROR | API error on attempt 3: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-05-18 11:41:42 | social_agent | INFO | SocialAgent starting...
2026-05-18 11:41:42 | social_agent | INFO | No posts yet — sending channel intro message
2026-05-18 11:41:43 | social_agent | INFO | Telegram message sent (message_id: 9)
